gene,Relative.Growth.Rate,phenotype,lower,upper,variance,timesAnalysed
PBANKA_111590,0.099849235,Essential,0.0192131,0.18048537,0.001625547,2
PBANKA_111600,0.949861419,Dispensable,0.753828203,1.145894634,0.009607255,1
PBANKA_111610,0.94123993,Dispensable,0.838812411,1.043667449,0.002622849,1
PBANKA_111620,1.012776677,Dispensable,0.955437311,1.070116044,0.000821951,1
PBANKA_111630,0.896080781,Slow,0.813348775,0.978812786,0.001711146,1
PBANKA_111640,0.088763381,Essential,-0.122453328,0.299980091,0.011153125,2
PBANKA_111680,0.140802386,Essential,-0.138422172,0.420026945,0.019491589,2
PBANKA_111690,1.016037116,Dispensable,0.837425605,1.194648627,0.007975518,1
PBANKA_111700,0.360878681,Slow,0.108417095,0.613340267,0.015934213,2
PBANKA_111710,0.33990631,Slow,0.281457893,0.398354727,0.000854054,3
PBANKA_111730,0.105353722,Essential,0.047419586,0.163287858,0.000839091,2
PBANKA_111760,0.95839564,Dispensable,0.759266835,1.157524446,0.00991307,1
PBANKA_111770,0.860265394,Slow,0.732194559,0.988336228,0.004100535,1
PBANKA_111810,0.1,Essential,-0.845294033,1.651474712,0.389615886,3
PBANKA_111820,0.107226067,Essential,-0.055202311,0.269654444,0.006595744,2
PBANKA_111850,0.771004097,Slow,0.623999215,0.91800898,0.005402609,2
PBANKA_111860,0.186769666,Essential,0.03202347,0.341515862,0.005986596,2
PBANKA_111870,0.971568128,Dispensable,0.864300192,1.078836065,0.002876603,1
PBANKA_111900,0.086447456,Essential,-0.008469506,0.181364418,0.002252307,2
PBANKA_111910,0.1,Essential,-1.084054306,1.60739228,0.452742795,3
PBANKA_111920,0.955897766,Dispensable,0.807023476,1.104772056,0.005540889,1
PBANKA_111970,0.854915224,Slow,0.804242768,0.905587681,0.000641924,1
PBANKA_112010,0.899950785,Dispensable,0.796499589,1.003401981,0.002675538,2
PBANKA_112020,0.905020833,Dispensable,0.739271175,1.070770491,0.006868237,1
PBANKA_112040,0.975750675,Dispensable,0.803553722,1.147947628,0.007412948,2
PBANKA_112050,0.25778629,Slow,0.127265542,0.388307038,0.004258916,2
PBANKA_112080,0.166441437,Essential,-0.18970681,0.522589684,0.031710394,2
PBANKA_112100,0.944602729,Dispensable,0.765531104,1.123674354,0.008016662,2
PBANKA_112110,0.959064881,Dispensable,0.811315955,1.106813808,0.005457436,3
PBANKA_112120,1.007522273,Dispensable,0.873486334,1.141558211,0.004491408,1
PBANKA_112140,0.901457455,Dispensable,0.77763934,1.025275571,0.003832731,1
PBANKA_112150,0.193161183,Essential,-0.053101433,0.439423799,0.015161319,2
PBANKA_112170,0.1,Essential,-1.177336722,1.771155121,0.543350259,2
PBANKA_112180,0.425138668,Insufficient data,-0.107882203,0.95815954,0.071027812,2
PBANKA_112190,0.8488166,Dispensable,0.437766634,1.259866566,0.042240519,2
PBANKA_112210,0.248739089,Essential,-0.014945092,0.51242327,0.017382337,2
PBANKA_112220,0.4203393,Slow,0.275903571,0.564775028,0.00521542,2
PBANKA_112230,1.047308531,Dispensable,0.906468401,1.188148661,0.004958986,1
PBANKA_112240,1.000922793,Dispensable,0.860963451,1.140882136,0.004897154,1
PBANKA_112250,0.1,Essential,-0.268935539,1.241143211,0.142521115,2
PBANKA_112260,0.12011115,Essential,0.025693308,0.214528992,0.002228682,3
PBANKA_112270,0.225071436,Slow,0.149287884,0.300854987,0.001435787,6
PBANKA_112280,0.391788369,Slow,0.286100929,0.497475809,0.002792459,2
PBANKA_112290,0.081161431,Essential,-0.119123506,0.281446368,0.010028514,2
PBANKA_112310,1.000744329,Dispensable,0.797130222,1.204358436,0.010364676,1
PBANKA_112330,0.515223698,Insufficient data,-0.108846451,1.139293847,0.097365888,2
PBANKA_112350,0.105155078,Essential,-0.01027266,0.220582816,0.003330891,2
PBANKA_112360,0.195575526,Essential,-0.034489,0.425640053,0.013232422,2
PBANKA_112380,0.55614402,Insufficient data,-0.483924442,1.596212482,0.270435601,2
PBANKA_112390,1.005663132,Dispensable,0.942015211,1.069311053,0.001012764,2
PBANKA_112410,0.12691237,Essential,0.025183989,0.228640752,0.002587166,3
PBANKA_112420,0.096869829,Essential,0.013411014,0.180328644,0.001741343,2
PBANKA_112450,0.029892417,Essential,-0.224299113,0.284083948,0.016153334,2
PBANKA_112460,0.83681207,Slow,0.715619217,0.958004923,0.003671927,1
PBANKA_112470,1.012128438,Dispensable,0.846653092,1.177603783,0.006845522,1
PBANKA_112490,0.45633279,Slow,0.375540482,0.537125098,0.001631849,2
PBANKA_112510,1.075776476,Dispensable,0.78965605,1.361896902,0.020466225,2
PBANKA_112520,0.05636911,Essential,-0.035583568,0.148321788,0.002113824,2
PBANKA_112530,0.978498716,Dispensable,0.845220952,1.111776479,0.004440741,2
PBANKA_112560,0.1,Essential,NA,NA,Inf,2
PBANKA_112610,0.108773357,Essential,0.056630201,0.160916512,0.000679727,3
PBANKA_112620,0.928118544,Dispensable,0.843652565,1.012584524,0.001783625,1
PBANKA_112640,0.194282547,Essential,0.014438573,0.374126521,0.008085964,3
PBANKA_112650,0.10413316,Essential,-0.043038553,0.251304873,0.005414878,2
PBANKA_112670,0.924236669,Dispensable,0.760090191,1.088383148,0.006736017,2
PBANKA_112680,0.385417023,Slow,0.111626914,0.659207133,0.018740256,2
PBANKA_112690,0.8160645,Slow,0.681170449,0.950958551,0.004549101,5
PBANKA_112700,0.353201664,Essential,0.072328664,0.634074664,0.019722411,2
PBANKA_112710,1.034181972,Dispensable,0.985192619,1.083171326,0.000599989,2
PBANKA_112730,0.33869889,Slow,0.226853402,0.450544378,0.003127353,2
PBANKA_112750,0.052495053,Essential,-0.008949097,0.113939203,0.000943846,1
PBANKA_112780,0.8981375,Slow,0.809816232,0.986458767,0.001950162,2
PBANKA_112790,0.058684582,Essential,0.025110736,0.092258427,0.000281801,2
PBANKA_112810,0.972242862,Dispensable,0.906666598,1.037819126,0.001075062,2
PBANKA_112850,0.02384773,Essential,-0.136647558,0.184343018,0.006439684,2
PBANKA_112890,1.007132122,Dispensable,0.89202069,1.122243554,0.00331266,2
PBANKA_112900,1.04825108,Dispensable,0.917765918,1.178736241,0.004256594,1
PBANKA_112910,0.34402325,Essential,-0.098287066,0.786333565,0.048909604,2
PBANKA_112920,1.01817751,Dispensable,0.863154497,1.173200524,0.006008034,1
PBANKA_112930,0.087459726,Essential,0.02668779,0.148231662,0.000923307,2
PBANKA_112970,0.082887407,Essential,-0.100754338,0.266529153,0.008431073,1
PBANKA_112980,1.074937661,Dispensable,0.935906757,1.213968565,0.004832398,1
PBANKA_113010,0.387987757,Essential,-0.120452224,0.896427738,0.064627804,2
PBANKA_113020,0.100278261,Essential,-0.196730114,0.397286636,0.022053494,2
PBANKA_113090,0.063155255,Essential,-0.014603171,0.14091368,0.001511593,2
PBANKA_113100,0.1,Essential,NA,NA,Inf,2
PBANKA_113140,0.862941591,Dispensable,0.722580806,1.003302375,0.004925287,1
PBANKA_113160,0.046457355,Essential,-0.152982011,0.245896721,0.009944015,2
PBANKA_113180,0.777377148,Slow,0.68928585,0.865468447,0.001940019,1
PBANKA_113190,0.926985421,Dispensable,0.752830555,1.101140288,0.007582479,2
PBANKA_113200,0.159653087,Essential,-0.04899926,0.368305434,0.01088395,2
PBANKA_113230,0.950152391,Dispensable,0.786003942,1.11430084,0.006736178,2
PBANKA_113240,1.070893091,Dispensable,0.925345877,1.216440304,0.005295998,1
PBANKA_113270,0.206958468,Essential,-0.234476826,0.648393762,0.04871628,3
PBANKA_113280,1.000037655,Dispensable,0.90808555,1.091989761,0.002113797,1
