gene,Relative.Growth.Rate,phenotype,lower,upper,variance,timesAnalysed
PBANKA_101935,1.057743169,Dispensable,0.908788902,1.206697436,0.005546843,1
PBANKA_020020,0.973784087,Dispensable,0.824016239,1.123551936,0.005607602,1
PBANKA_020010,0.989429784,Dispensable,0.887590066,1.091269503,0.002592832,2
PBANKA_010010,1.032612356,Dispensable,0.911524274,1.153700437,0.003665581,1
PBANKA_010080,1.000788455,Dispensable,0.887256628,1.114320282,0.003222369,1
PBANKA_010090,0.22544335,Essential,-0.252598645,0.703485345,0.057131037,3
PBANKA_010110,1.003369957,Dispensable,0.877734216,1.129005697,0.003946085,1
PBANKA_010120,0.103272989,Essential,-0.0773863,0.283932277,0.008159445,3
PBANKA_010130,0.1,Essential,-0.130683341,1.067885412,0.089785441,3
PBANKA_010150,0.999351681,Dispensable,0.891811284,1.106892077,0.002891234,1
PBANKA_010160,0.855584673,Dispensable,0.679571018,1.031598329,0.007745202,1
PBANKA_010190,0.418043288,Insufficient data,-0.154425232,0.990511807,0.081930052,1
PBANKA_010200,0.146384593,Essential,0.07839207,0.214377117,0.001155746,2
PBANKA_010210,0.196174479,Slow,0.113216969,0.279131989,0.001720487,2
PBANKA_010220,1.016070267,Dispensable,0.83008255,1.202057984,0.008647858,2
PBANKA_010240,0.984531449,Dispensable,0.864125352,1.104937545,0.003624407,2
PBANKA_010260,0.035639294,Essential,-0.027905148,0.099183736,0.001009474,3
PBANKA_010290,0.123221961,Essential,-0.010811131,0.257255053,0.004491217,2
PBANKA_010330,0.84254098,Dispensable,0.646035142,1.039046818,0.009653636,2
PBANKA_010400,0.134182752,Essential,0.068358471,0.200007033,0.001083209,2
PBANKA_010430,0.913673711,Dispensable,0.740055757,1.087291665,0.007535798,2
PBANKA_010450,0.946685237,Dispensable,0.757065483,1.136304992,0.008988913,1
PBANKA_010460,0.979627097,Dispensable,0.864409596,1.094844598,0.003318768,2
PBANKA_010470,0.831217691,Dispensable,0.652974057,1.009461325,0.007942698,1
PBANKA_010480,0.0404416,Essential,0.003986837,0.076896363,0.000332237,2
PBANKA_010490,0.360714069,Slow,0.25431341,0.467114727,0.002830275,2
PBANKA_010510,1.051915466,Dispensable,0.903055999,1.200774933,0.005539785,1
PBANKA_010520,0.861071547,Dispensable,0.705184062,1.016959033,0.006075227,2
PBANKA_010530,0.901844886,Dispensable,0.673848934,1.129840838,0.012995539,2
PBANKA_010540,0.039156135,Essential,-0.073023473,0.151335744,0.003146066,2
PBANKA_010550,0.230340132,Slow,0.148011341,0.312668922,0.001694507,2
PBANKA_010560,0.109799347,Essential,-0.041904778,0.261503473,0.005753535,2
PBANKA_010570,0.968013816,Dispensable,0.831775122,1.10425251,0.004640245,1
PBANKA_010580,0.979667346,Dispensable,0.820871855,1.138462838,0.006304002,1
PBANKA_010590,0.770170847,Dispensable,0.51190213,1.028439563,0.016675682,1
PBANKA_010600,0.819534974,Dispensable,0.648340273,0.990729674,0.007326906,2
PBANKA_010610,0.088012459,Essential,0.018995783,0.157029136,0.001190825,2
PBANKA_010620,1.016958916,Dispensable,0.912948624,1.120969208,0.002704535,1
PBANKA_010630,0.795965086,Slow,0.650535493,0.941394678,0.005287442,3
PBANKA_010640,0.095049617,Essential,0.016284359,0.173814875,0.001550991,2
PBANKA_010660,0.822784044,Slow,0.679113134,0.966454953,0.005160333,1
PBANKA_010670,0.132901606,Essential,0.022347794,0.243455418,0.003055536,2
PBANKA_010690,0.123606434,Essential,0.001605719,0.245607149,0.003721044,2
PBANKA_010700,0.162363899,Essential,0.06769265,0.257035148,0.002240661,2
PBANKA_010720,1.051368228,Dispensable,0.954272547,1.148463908,0.002356893,1
PBANKA_010730,0.633020719,Slow,0.395897237,0.870144202,0.014056886,2
PBANKA_010740,0.941239334,Dispensable,0.785528619,1.096950049,0.006061457,1
PBANKA_010770,0.418922928,Slow,0.317963572,0.519882284,0.002548198,3
PBANKA_010780,0.175987161,Essential,0.089887637,0.262086686,0.001853282,3
PBANKA_010790,0.131612448,Essential,-0.099763839,0.362988736,0.013383747,2
PBANKA_010820,0.560067345,Slow,0.383474465,0.736660225,0.007796261,2
PBANKA_010870,0.317040382,Slow,0.242483102,0.391597662,0.001389697,2
PBANKA_010880,0.164186238,Essential,0.061343631,0.267028845,0.00264415,2
PBANKA_010890,1.044141292,Dispensable,0.887698841,1.200583742,0.00611856,1
PBANKA_010910,0.066235161,Essential,-0.105927043,0.238397365,0.007409956,1
PBANKA_010920,0.742162701,Slow,0.59376958,0.890555821,0.00550513,2
PBANKA_010940,0.940829731,Dispensable,0.755183413,1.126476048,0.008616139,1
PBANKA_010950,0.812330568,Slow,0.728840712,0.895820425,0.001742639,2
PBANKA_010960,0.910177996,Dispensable,0.799669398,1.020686594,0.003053038,1
PBANKA_010970,0.720482127,Slow,0.53490716,0.906057093,0.008609517,2
PBANKA_011000,0.617561946,Slow,0.428320063,0.806803829,0.008953123,2
PBANKA_011010,0.387774409,Slow,0.176028097,0.599520721,0.011209125,2
PBANKA_011030,0.168990474,Essential,-0.083947413,0.421928362,0.015994394,2
PBANKA_011040,0.818116599,Slow,0.722403988,0.91382921,0.002290226,2
PBANKA_011110,0.72444343,Dispensable,0.224852757,1.224034104,0.06239771,2
PBANKA_011120,0.265561205,Essential,0.056506168,0.474616243,0.010926002,2
PBANKA_011130,0.116310165,Essential,0.039826202,0.192794128,0.001462449,2
PBANKA_011160,1.00753387,Dispensable,0.911391291,1.103676449,0.002310849,2
PBANKA_011210,0.147244636,Essential,-0.035848812,0.330338085,0.008380803,2
PBANKA_011250,0.934667816,Dispensable,0.797514686,1.071820946,0.004702745,2
PBANKA_124600,0.79727141,Dispensable,0.587460017,1.007082804,0.011005205,1
PBANKA_020160,0.118802697,Essential,-0.158595259,0.396200653,0.019237406,2
PBANKA_020230,0.48032798,Insufficient data,-0.079372245,1.040028206,0.078316086,2
PBANKA_020250,0.092393234,Essential,0.006137542,0.178648926,0.001860011,2
PBANKA_020260,0.38576352,Slow,0.233448437,0.538078602,0.005799971,2
PBANKA_020270,0.970232619,Dispensable,0.812247918,1.12821732,0.006239791,2
PBANKA_020290,0.314265567,Slow,0.10310069,0.525430445,0.011147651,2
PBANKA_020300,0.58634052,Slow,0.48466058,0.688020459,0.002584703,2
PBANKA_020310,0.137019138,Essential,-0.053612219,0.327650495,0.009085079,2
PBANKA_020330,0.362284796,Slow,0.141973039,0.582596553,0.012134318,2
PBANKA_020340,0.066150947,Essential,-0.021292874,0.153594767,0.001911605,2
PBANKA_020350,0.88768971,Dispensable,0.705371281,1.07000814,0.008310002,2
PBANKA_020370,0.009514649,Essential,-0.188084847,0.207114146,0.00976139,2
PBANKA_020380,0.151110777,Essential,-0.275588793,0.577810346,0.045518131,3
PBANKA_020390,0.281724003,Slow,0.176115756,0.387332249,0.002788275,2
PBANKA_020420,0.958574265,Dispensable,0.834362672,1.082785858,0.00385713,1
PBANKA_020460,0.304160586,Essential,-0.173567067,0.781888239,0.057055928,2
PBANKA_020510,0.98725951,Dispensable,0.850827607,1.123691413,0.004653416,1
PBANKA_020530,0.047060523,Essential,0.011011789,0.083109257,0.000324878,2
PBANKA_020580,0.251757766,Slow,0.099005756,0.404509777,0.005833294,5
PBANKA_020590,0.1,Essential,-0.487186979,1.075792884,0.152681628,3
PBANKA_020610,0.92179563,Dispensable,0.757285923,1.086305338,0.006765861,1
PBANKA_020620,0.151806784,Essential,0.096078674,0.207534894,0.000776406,2
PBANKA_020630,0.178647705,Essential,0.025327001,0.33196841,0.00587681,2
PBANKA_020640,0.102994974,Essential,-0.264656805,0.470646754,0.033791958,2
PBANKA_020650,0.739108711,Dispensable,0.364222856,1.113994566,0.035134851,3
PBANKA_020660,0.09017808,Essential,-0.011846495,0.192202656,0.002602253,2
PBANKA_020670,0.854465411,Dispensable,0.695433853,1.013496968,0.006322759,2
PBANKA_020680,0.020475213,Essential,-0.031593401,0.072543827,0.000677785,2
PBANKA_020690,0.073343643,Essential,0.006521714,0.140165571,0.001116293,1
PBANKA_020700,0.1,Essential,NA,NA,Inf,2
PBANKA_020710,0.465302378,Slow,0.363971131,0.566633625,0.002567005,2
PBANKA_020720,0.195240508,Essential,0.02153774,0.368943275,0.007543163,2
PBANKA_020730,0.98701094,Dispensable,0.832852942,1.141168937,0.005941172,1
PBANKA_020750,0.091013747,Essential,-0.074722277,0.256749771,0.006867107,2
PBANKA_020760,0.483728526,Essential,0.068763565,0.898693488,0.04304898,2
PBANKA_020780,0.071728827,Essential,0.030371494,0.11308616,0.000427607,2
PBANKA_020790,0.285724385,Slow,0.123078589,0.448370181,0.006613414,2
PBANKA_020810,0.065333813,Essential,-0.017588626,0.148256252,0.001719033,2
PBANKA_020830,0.954804907,Dispensable,0.821822425,1.087787388,0.004421085,1
PBANKA_020840,0.992658546,Dispensable,0.901904903,1.083412189,0.002059056,1
PBANKA_020850,0.110071012,Essential,0.062814717,0.157327307,0.000558289,2
PBANKA_020890,0.097981144,Essential,-0.074985503,0.270947791,0.007479365,2
PBANKA_020900,0.475286422,Slow,0.319112369,0.631460476,0.006097584,1
PBANKA_020920,0.97438004,Dispensable,0.869049979,1.079710101,0.002773605,1
PBANKA_020960,0.871763533,Dispensable,0.506668095,1.236858971,0.03332367,2
PBANKA_020970,0.986056591,Dispensable,0.902834081,1.0692791,0.001731497,2
PBANKA_020990,1.031955262,Dispensable,0.952482617,1.111427907,0.001578975,1
PBANKA_021010,0.987950442,Dispensable,0.878159029,1.097741855,0.003013539,1
PBANKA_021020,0.169229929,Essential,-0.123931966,0.462391823,0.021485974,2
PBANKA_021030,0.717394489,Dispensable,0.212126543,1.222662434,0.063823924,1
PBANKA_021040,0.177416791,Essential,-0.07908037,0.433913951,0.016447698,2
PBANKA_021060,0.354891054,Essential,0.027149161,0.682632948,0.026853687,2
PBANKA_021070,0.033655984,Essential,-0.07113563,0.138447597,0.002745321,2
PBANKA_021100,0.034526949,Essential,0.009008824,0.060045073,0.000162794,1
PBANKA_021110,0.086118748,Essential,-0.018407558,0.190645054,0.002731437,2
PBANKA_021120,0.055183729,Essential,0.022663169,0.08770429,0.000264397,2
PBANKA_021130,0.009938302,Essential,-0.081898829,0.101775433,0.002108515,2
PBANKA_021140,0.978412743,Dispensable,0.873242094,1.083583392,0.002765216,1
PBANKA_021150,0.251634346,Essential,0.036709503,0.46655919,0.011548172,3
PBANKA_021160,0.223811403,Essential,-0.061088205,0.508711011,0.020291947,2
PBANKA_021180,0.152628238,Essential,-0.102682415,0.407938891,0.016295882,2
PBANKA_021190,0.1,Essential,-0.362573801,0.953782929,0.10829969,2
PBANKA_021200,0.995763545,Dispensable,0.826548653,1.164978437,0.00715842,2
PBANKA_021220,0.057615812,Essential,-0.057719334,0.172950958,0.003325549,2
PBANKA_021230,0.934352995,Dispensable,0.805666209,1.063039781,0.004140072,1
PBANKA_021240,0.077411409,Essential,0.00446807,0.150354747,0.001330183,2
PBANKA_021290,0.090841079,Essential,0.025125903,0.156556255,0.001079621,2
PBANKA_021300,0.033532108,Essential,-0.013810476,0.080874692,0.00056033,1
PBANKA_021330,0.954602374,Dispensable,0.859594975,1.049609773,0.002256601,1
PBANKA_021350,0.238331464,Essential,-0.056551564,0.533214491,0.021739,2
PBANKA_021360,0.148076906,Essential,-0.049319805,0.345473617,0.009741365,2
PBANKA_021390,1.026842105,Dispensable,0.89214084,1.16154337,0.004536108,1
PBANKA_021420,1.015661295,Dispensable,0.893929322,1.137393268,0.003704668,1
PBANKA_021440,0.719436299,Slow,0.567217492,0.871655106,0.005792641,2
PBANKA_021450,0.970726036,Dispensable,0.909855752,1.031596321,0.000926298,2
PBANKA_021460,0.814913155,Slow,0.686408549,0.943417761,0.004128358,2
PBANKA_010040,0.776457967,Slow,0.610766025,0.942149908,0.006863455,1
PBANKA_030060,0.853575379,Dispensable,0.643291701,1.063859057,0.011054806,2
PBANKA_030070,0.075010611,Essential,-0.069050606,0.219071829,0.005188409,2
PBANKA_030080,0.070664392,Essential,-0.017886732,0.159215516,0.001960325,2
PBANKA_030100,0.937668294,Dispensable,0.857417168,1.017919419,0.001610061,1
PBANKA_030110,0.072985752,Essential,-0.069908535,0.215880039,0.005104694,3
PBANKA_030140,0.951182226,Dispensable,0.83651488,1.065849573,0.00328715,1
PBANKA_030150,0.092604125,Essential,-0.003595911,0.18880416,0.002313612,2
PBANKA_030170,0.220803303,Slow,0.094008708,0.347597897,0.004019217,3
PBANKA_030180,1.016077246,Dispensable,0.935183578,1.096970913,0.001635946,1
PBANKA_030200,0.051989185,Essential,-0.00171542,0.10569379,0.000721046,2
PBANKA_030210,1.002363327,Dispensable,0.928474007,1.076252647,0.001364908,1
PBANKA_030230,0.291583596,Slow,0.18795556,0.395211633,0.002684692,2
PBANKA_030240,0.717067988,Slow,0.634554615,0.799581362,0.001702114,2
PBANKA_030260,1.000556317,Dispensable,0.931652212,1.069460423,0.001186944,1
PBANKA_030270,0.187619425,Essential,0.087988081,0.28725077,0.002481601,2
PBANKA_030340,0.881494004,Dispensable,0.658292735,1.104695274,0.012454702,1
PBANKA_030360,0.219832867,Slow,0.110484198,0.329181536,0.002989283,3
PBANKA_030370,0.947674511,Dispensable,0.802046335,1.093302687,0.005301891,1
PBANKA_030380,0.134562435,Essential,0.058990904,0.210133966,0.001427764,2
PBANKA_030420,0.185333567,Slow,0.111949767,0.258717367,0.001346296,3
PBANKA_030430,0.041205707,Essential,-0.124800666,0.20721208,0.006889529,2
PBANKA_030450,0.380483277,Slow,0.312616118,0.448350435,0.001151488,3
PBANKA_030460,0.136866177,Essential,0.028596903,0.245135451,0.002930559,2
PBANKA_030470,0.930123907,Dispensable,0.783532456,1.076715358,0.005372263,2
PBANKA_030480,0.594520994,Slow,0.370482953,0.818559036,0.012548261,2
PBANKA_030500,0.975686552,Dispensable,0.862714051,1.088659053,0.003190696,1
PBANKA_030510,1.044894228,Dispensable,0.87445201,1.215336446,0.007262637,1
PBANKA_030530,0.04305711,Essential,-0.052885891,0.139000111,0.002301265,2
PBANKA_030540,0.092115396,Essential,-0.118181957,0.30241275,0.011056244,2
PBANKA_030560,0.067355202,Essential,-0.009150504,0.143860909,0.001463281,2
PBANKA_030570,0.085668516,Essential,0.02700657,0.144330462,0.000860306,3
PBANKA_030580,0.355005921,Slow,0.216677314,0.493334527,0.004783701,2
PBANKA_030600,1.004921081,Dispensable,0.826963524,1.182878638,0.007917223,1
PBANKA_030610,1.022369332,Dispensable,0.875746128,1.168992536,0.005374591,1
PBANKA_030630,0.102433787,Essential,-0.098828611,0.303696186,0.010126638,1
PBANKA_030650,1.089945909,Dispensable,0.901111057,1.278780762,0.00891465,1
PBANKA_030660,1.055835042,Dispensable,0.917819371,1.193850713,0.004762081,1
PBANKA_030670,0.180555679,Essential,0.065135422,0.295975936,0.003330459,4
PBANKA_030680,0.291300251,Essential,-0.214118144,0.796718646,0.063861939,2
PBANKA_030690,0.140375679,Essential,-0.152882023,0.433633381,0.02150002,2
PBANKA_030770,0.654961551,Slow,0.482763709,0.827159393,0.007413024,2
PBANKA_030780,0.453582571,Slow,0.185290879,0.721874263,0.017995108,2
PBANKA_030810,0.73211049,Slow,0.595126809,0.869094171,0.004691132,1
PBANKA_030820,0.841040496,Slow,0.714357734,0.967723258,0.004012131,1
PBANKA_030840,0.162868125,Slow,0.111996112,0.213740138,0.00064699,3
PBANKA_030850,0.991652776,Dispensable,0.946440527,1.036865025,0.000511037,6
PBANKA_030860,0.41976465,Slow,0.315515087,0.524014214,0.002716993,2
PBANKA_030890,0.774185972,Slow,0.574783904,0.97358804,0.009940296,2
PBANKA_030920,0.043305391,Essential,-0.134734637,0.221345418,0.007924563,1
PBANKA_030940,0.089398637,Essential,0.029861958,0.148935316,0.000886154,2
PBANKA_030950,0.141316839,Essential,-0.154757614,0.437391291,0.02191502,3
PBANKA_030960,0.730466629,Slow,0.54541177,0.915521489,0.008561325,1
PBANKA_030970,0.919967936,Dispensable,0.6773323,1.162603571,0.014718013,2
PBANKA_030980,0.79258025,Slow,0.651161493,0.933999006,0.004999816,1
PBANKA_031000,0.899608792,Dispensable,0.773882976,1.025334608,0.003951745,2
PBANKA_031030,0.108771586,Essential,0.069827838,0.147715334,0.000379154,4
PBANKA_031050,0.927875405,Dispensable,0.592399978,1.263350831,0.02813594,2
PBANKA_031100,0.1,Essential,NA,NA,Inf,1
PBANKA_031110,0.076313597,Essential,0.024721736,0.127905459,0.00066543,2
PBANKA_031120,0.118860563,Essential,0.051449744,0.186271381,0.001136055,2
PBANKA_031130,1.004201923,Dispensable,0.861087568,1.147316279,0.00512043,1
PBANKA_031140,0.126086796,Essential,0.00389094,0.248282652,0.003732957,5
PBANKA_031160,0.029932796,Essential,-0.029291417,0.08915701,0.000876877,2
PBANKA_031180,0.93552159,Dispensable,0.810177744,1.060865436,0.00392777,2
PBANKA_031190,0.794815845,Slow,0.6684066,0.92122509,0.003994824,1
PBANKA_031200,1.0081381,Dispensable,0.944852457,1.071423742,0.001001268,1
PBANKA_031210,0.93025692,Dispensable,0.755017781,1.105496059,0.007677189,1
PBANKA_031220,0.625897407,Slow,0.449297714,0.802497101,0.007796863,2
PBANKA_031230,0.534051436,Slow,0.43816249,0.629940382,0.002298673,2
PBANKA_031240,0.46954606,Slow,0.276792357,0.662299764,0.009288498,2
PBANKA_031250,0.195897161,Essential,-0.043587581,0.435381904,0.014338235,2
PBANKA_031260,0.95976629,Dispensable,0.749397986,1.170134594,0.011063706,2
PBANKA_031270,0.970015422,Dispensable,0.893826096,1.046204748,0.001451203,1
PBANKA_031300,0.09324758,Essential,0.043770736,0.142724423,0.00061199,2
PBANKA_031310,0.266490213,Essential,0.088355229,0.444625197,0.007933018,3
PBANKA_031320,1.034385158,Dispensable,0.857905935,1.210864381,0.007786229,2
PBANKA_031330,0.867198375,Dispensable,0.734107796,1.000288954,0.004428276,2
PBANKA_031340,0.756982338,Slow,0.661269035,0.852695641,0.002290259,1
PBANKA_031360,0.895988377,Dispensable,0.713689674,1.078287079,0.008308204,1
PBANKA_031380,0.526578481,Slow,0.408302069,0.644854893,0.003497327,2
PBANKA_031410,0.091327129,Essential,0.023918752,0.158735505,0.001135972,2
PBANKA_031420,0.982753553,Dispensable,0.949182184,1.016324923,0.000281759,4
PBANKA_031470,0.482490782,Slow,0.108361536,0.856620028,0.034993173,3
PBANKA_031480,1.02015619,Dispensable,0.929657961,1.110654419,0.002047482,2
PBANKA_031490,1.02866948,Dispensable,0.835709495,1.221629465,0.009308389,1
PBANKA_031500,0.967744861,Dispensable,0.823691283,1.11179844,0.005187858,1
PBANKA_031520,0.835224286,Dispensable,0.286480151,1.383968421,0.075280031,3
PBANKA_031540,0.236398963,Essential,-0.101444962,0.574242888,0.028534629,2
PBANKA_031560,0.069462095,Essential,0.018977406,0.119946783,0.000637176,2
PBANKA_031580,0.974921931,Dispensable,0.863503881,1.086339981,0.003103495,1
PBANKA_031590,0.998154482,Dispensable,0.937761679,1.058547285,0.000911823,1
PBANKA_031600,0.83934622,Dispensable,0.096709455,1.581982985,0.137877341,3
PBANKA_031660,0.918956154,Dispensable,0.763299217,1.074613091,0.006057271,3
PBANKA_021550,1.084186529,Dispensable,0.906951933,1.261421124,0.007853025,1
PBANKA_040050,0.952787184,Dispensable,0.818207993,1.087366376,0.00452789,1
PBANKA_040060,0.960330068,Dispensable,0.801879533,1.118780604,0.006276643,1
PBANKA_040090,0.087618588,Essential,0.049901368,0.125335808,0.000355647,2
PBANKA_040110,0.661682366,Slow,0.590923635,0.732441098,0.0012517,5
PBANKA_040120,0.930855507,Dispensable,0.809940232,1.051770782,0.003655126,1
PBANKA_040150,0.163694628,Essential,0.039139249,0.288250008,0.003878511,3
PBANKA_040160,0.265432498,Essential,-0.033651196,0.564516192,0.022362764,2
PBANKA_040170,0.932607565,Dispensable,0.83721226,1.02800287,0.002275066,1
PBANKA_040180,0.255928131,Essential,-0.085269757,0.597126018,0.029104,4
PBANKA_040190,0.285291619,Essential,0.052918478,0.517664759,0.013499319,2
PBANKA_040210,0.109129901,Essential,0.00159883,0.216660973,0.002890733,2
PBANKA_040220,0.966900322,Dispensable,0.898959992,1.034840652,0.001153972,1
PBANKA_040230,0.508418301,Slow,0.382003574,0.634833028,0.003995171,1
PBANKA_040240,0.961767281,Dispensable,0.797950097,1.125584464,0.006709017,1
PBANKA_040280,0.979651605,Dispensable,0.853639556,1.105663653,0.003969759,3
PBANKA_040290,0.231100377,Essential,0.085293314,0.37690744,0.005314925,2
PBANKA_040340,0.222008132,Slow,0.114526554,0.32948971,0.002888072,2
PBANKA_040350,0.0704059,Essential,0.017567131,0.12324467,0.000697984,1
PBANKA_040360,0.029442431,Essential,-0.008656295,0.067541158,0.000362878,2
PBANKA_040370,0.029355167,Essential,-0.019054682,0.077765016,0.000585878,2
PBANKA_040390,0.069443056,Essential,-0.03743322,0.176319331,0.002855635,2
PBANKA_040410,1.090812314,Dispensable,0.897731317,1.28389331,0.009320068,1
PBANKA_040420,0.1,Essential,-0.336941908,1.162933821,0.1406017,2
PBANKA_040430,0.904275314,Dispensable,0.742998399,1.065552228,0.006502561,1
PBANKA_040440,0.054346942,Essential,-0.061100745,0.16979463,0.003332042,2
PBANKA_040460,0.974926303,Dispensable,0.853980803,1.095871804,0.003656954,1
PBANKA_040470,0.97913676,Dispensable,0.892975904,1.065297616,0.001855923,1
PBANKA_040480,0.903294432,Slow,0.82940161,0.977187254,0.001365037,1
PBANKA_040490,0.077282679,Essential,0.034092129,0.12047323,0.000466356,2
PBANKA_040500,0.901970414,Dispensable,0.768759921,1.035180908,0.004436259,1
PBANKA_040510,0.15034541,Essential,0.063116442,0.237574378,0.001902223,2
PBANKA_040520,0.147038535,Essential,-0.079615609,0.37369268,0.012843025,2
PBANKA_040530,0.050678814,Essential,-0.052066851,0.153424478,0.002639168,2
PBANKA_040540,0.08169879,Essential,-0.017419599,0.180817178,0.002456114,2
PBANKA_040560,1.019463375,Dispensable,0.910872915,1.128053835,0.002947972,1
PBANKA_040590,0.913069235,Dispensable,0.785014577,1.041123894,0.004099499,1
PBANKA_040600,0.232370352,Essential,0.068179336,0.396561367,0.006739672,2
PBANKA_040620,0.880535035,Dispensable,0.47146678,1.289603289,0.041834209,1
PBANKA_040640,0.055204749,Essential,-0.01195236,0.122361858,0.001127519,3
PBANKA_040650,0.1,Essential,NA,NA,Inf,3
PBANKA_040670,0.873514415,Slow,0.778078841,0.968949988,0.002276987,1
PBANKA_040680,0.123059701,Essential,-0.054687509,0.300806912,0.007898518,2
PBANKA_040690,0.109212896,Essential,0.001891451,0.216534342,0.002879473,3
PBANKA_040710,0.270869019,Essential,-0.201256458,0.742994496,0.055725617,2
PBANKA_040720,0.362680715,Slow,0.204547793,0.520813637,0.006251505,1
PBANKA_040730,1.057178747,Dispensable,0.922504608,1.191852887,0.004534281,1
PBANKA_040740,0.1,Essential,-0.920448614,1.340829556,0.319586185,2
PBANKA_040750,0.660309121,Slow,0.587510186,0.733108056,0.001324921,2
PBANKA_040760,0.639047659,Slow,0.54940432,0.728690998,0.002008982,2
PBANKA_040770,0.024689968,Essential,-0.010556617,0.059936553,0.00031058,2
PBANKA_040780,0.93324688,Dispensable,0.806710318,1.059783443,0.004002875,1
PBANKA_040790,0.185396339,Essential,0.038991954,0.331800724,0.005358561,2
PBANKA_040810,0.121585001,Essential,0.04621573,0.196954272,0.001420132,2
PBANKA_040820,1.0016623,Dispensable,0.966137119,1.037187482,0.00031551,3
PBANKA_040830,0.48121722,Slow,0.275766292,0.686668149,0.010552521,2
PBANKA_040840,1.066135518,Dispensable,0.919928246,1.21234279,0.005344142,1
PBANKA_040860,0.81032118,Slow,0.708969785,0.911672576,0.002568026,1
PBANKA_040910,0.548678323,Slow,0.27577835,0.821578296,0.018618599,1
PBANKA_040920,0.078056489,Essential,0.010093159,0.146019819,0.001154754,2
PBANKA_040930,0.637623559,Slow,0.387901819,0.8873453,0.015590237,1
PBANKA_040940,0.912293667,Dispensable,0.742987593,1.08159974,0.007166137,5
PBANKA_040950,0.973184082,Dispensable,0.825753842,1.120614321,0.005433919,1
PBANKA_040960,0.096082093,Essential,0.023596227,0.168567958,0.00131355,3
PBANKA_040980,0.83480594,Slow,0.705144605,0.964467274,0.004203015,1
PBANKA_041000,0.114773001,Essential,0.053684339,0.175861663,0.000932956,2
PBANKA_041010,0.96526902,Dispensable,0.891613936,1.038924104,0.001356268,2
PBANKA_041030,0.407863805,Slow,0.199614907,0.616112704,0.010841901,2
PBANKA_041040,1.056199376,Dispensable,0.927846968,1.184551785,0.004118585,3
PBANKA_041050,0.969990559,Dispensable,0.854355685,1.085625432,0.003342856,2
PBANKA_041065,0.997287292,Dispensable,0.84140655,1.153168034,0.006074701,2
PBANKA_041080,0.149189676,Essential,-0.015451873,0.313831224,0.00677671,3
PBANKA_041140,0.108240818,Essential,0.014230246,0.20225139,0.002209497,2
PBANKA_041160,0.964969159,Dispensable,0.794983129,1.134955188,0.007223813,2
PBANKA_041170,0.953687155,Dispensable,0.865850587,1.041523722,0.001928816,1
PBANKA_041190,1.007546482,Dispensable,0.863724052,1.151368913,0.005171223,2
PBANKA_041240,0.944973439,Dispensable,0.889383257,1.00056362,0.000772567,2
PBANKA_041300,0.999002577,Dispensable,0.808307082,1.189698073,0.009091193,1
PBANKA_041320,0.541194154,Slow,0.387962488,0.69442582,0.005869986,2
PBANKA_041330,0.074625323,Essential,-0.018998811,0.168249456,0.00219137,2
PBANKA_041340,1.040144027,Dispensable,0.847992599,1.232295455,0.009230543,1
PBANKA_041350,0.970474597,Dispensable,0.8948782,1.046070994,0.001428704,2
PBANKA_041360,0.136274031,Essential,-0.013824257,0.286372319,0.005632374,2
PBANKA_041380,1.002134011,Dispensable,0.842864016,1.161404006,0.006341733,1
PBANKA_041390,0.114685438,Essential,0.044709938,0.184660938,0.001224143,2
PBANKA_041420,0.065672038,Essential,0.020504761,0.110839315,0.000510021,2
PBANKA_041430,0.189141016,Essential,0.04291437,0.335367661,0.005345558,2
PBANKA_041450,0.636314333,Slow,0.564073412,0.708555253,0.001304688,2
PBANKA_041470,0.425563004,Slow,0.095637489,0.75548852,0.027212711,2
PBANKA_041490,1.045662308,Dispensable,0.953928765,1.137395851,0.002103761,1
PBANKA_041530,0.134805243,Essential,0.016354456,0.25325603,0.003507647,2
PBANKA_041570,0.053952397,Essential,-0.016665425,0.124570219,0.001246719,2
PBANKA_041590,0.854381837,Slow,0.737034643,0.971729032,0.003442591,1
PBANKA_041600,0.075157342,Essential,-0.083752336,0.234067021,0.006313071,2
PBANKA_041620,0.073067715,Essential,-0.374089805,0.520225234,0.049987462,2
PBANKA_041630,0.11503582,Essential,-0.068575424,0.298647065,0.008428272,2
PBANKA_041640,0.840003262,Slow,0.719324745,0.960681778,0.003640826,1
PBANKA_041680,1.004969549,Dispensable,0.94075322,1.069185877,0.001030934,1
PBANKA_041690,0.866458791,Slow,0.783886413,0.949031169,0.001704549,1
PBANKA_041710,0.95927934,Dispensable,0.762913988,1.155644693,0.009639838,1
PBANKA_041730,0.142823908,Essential,-0.024017279,0.309665096,0.006958995,2
PBANKA_041740,0.393323326,Slow,0.177801418,0.608845235,0.011612423,2
PBANKA_041750,0.199767264,Essential,-0.039039906,0.438574433,0.014257216,1
PBANKA_041770,0.985578264,Dispensable,0.905834207,1.06532232,0.001589779,1
PBANKA_041780,1.00495732,Dispensable,0.943245075,1.066669565,0.0009521,2
PBANKA_041790,0.163991038,Essential,-0.094929001,0.422911077,0.016759897,2
PBANKA_041800,0.331669684,Essential,0.052889424,0.610449943,0.019429608,2
PBANKA_041810,1.145444967,Dispensable,0.989804645,1.301085289,0.006055977,1
PBANKA_041820,0.243836889,Essential,0.022587638,0.465086139,0.012237808,3
